	BodyShapeI	Length	Environment	Habitat	DepthRangeShallow	DepthRangeDeep	ReproMode	Fertilization	RepGuild1
Myxodes viridis	elongated	13.5	saltwater	benthopelagic	NA	50	NA	NA	NA
Myxus elongatus	fusiform/normal	40	saltwater/brack/fresh	demersal	1	10	dioecism	external	nonguarders
Nandus nandus	fusiform/normal	20	brack/fresh	benthopelagic	NA	NA	dioecism	external	nonguarders
Nannocampus elegans	eel-like	12	saltwater	reef-associated	NA	NA	dioecism	inbroodpouchorsimilarstructure	bearers
Nannocampus pictus	eel-like	10	saltwater	reef-associated	NA	9	dioecism	inbroodpouchorsimilarstructure	bearers
Nannocampus subosseus	eel-like	9.050000191	saltwater	demersal	3	8	dioecism	inbroodpouchorsimilarstructure	bearers
Nannosalarias nativitatis	elongated	5	saltwater	reef-associated	2	12	dioecism	external	guarders
Nansenia antarctica	elongated	22	saltwater	bathypelagic	0	4145	NA	NA	NA
Nansenia oblita	elongated	18	saltwater	pelagic-oceanic	300	500	NA	NA	NA
Nansenia pelagica	elongated	10.75	saltwater	pelagic-oceanic	0	2000	NA	NA	NA
Narcetes stomias	elongated	57.5	saltwater	bathypelagic	1500	2300	dioecism	external	NA
Narcine bancroftii	other	65	saltwater	demersal	NA	35	NA	NA	NA
Narcine brasiliensis	other	54	saltwater	reef-associated	1	43	dioecism	internal(oviduct)	bearers
Narcine brunnea	other	22	saltwater	demersal	NA	NA	NA	NA	NA
Narcine entemedor	other	119	saltwater	demersal	1	100	NA	NA	NA
Narcine timlei	other	38	saltwater	demersal	NA	NA	NA	NA	NA
Narcinops westraliensis	other	29	saltwater	demersal	10	70	NA	NA	NA
Narke dipterygia	other	18	saltwater	demersal	100	NA	NA	NA	NA
Naso annulatus	fusiform/normal	100	saltwater	reef-associated	1	60	dioecism	external	nonguarders
Naso brachycentron	fusiform/normal	90	saltwater	reef-associated	8	30	dioecism	external	nonguarders
Naso brevirostris	fusiform/normal	60	saltwater	reef-associated	2	122	dioecism	external	nonguarders
Naso caeruleacauda	fusiform/normal	40	saltwater	reef-associated	15	45	dioecism	external	nonguarders
Naso caesius	fusiform/normal	45.59999847	saltwater	reef-associated	15	50	dioecism	external	nonguarders
Naso elegans	shortand/ordeep	45	saltwater	reef-associated	5	30	dioecism	external	nonguarders
Naso fageni	fusiform/normal	80	saltwater	reef-associated	3	35	dioecism	external	nonguarders
Naso hexacanthus	fusiform/normal	75	saltwater/brack	reef-associated	6	150	dioecism	external	nonguarders
Naso lituratus	shortand/ordeep	46	saltwater	reef-associated	0	90	dioecism	external	nonguarders
Naso lopezi	fusiform/normal	60	saltwater	reef-associated	20	50	dioecism	external	nonguarders
Naso maculatus	fusiform/normal	60	saltwater	reef-associated	43	220	dioecism	external	nonguarders
Naso mcdadei	fusiform/normal	75	saltwater	reef-associated	5	65	dioecism	external	nonguarders
Naso minor	fusiform/normal	30	saltwater	reef-associated	8	55	dioecism	external	nonguarders
Naso thynnoides	fusiform/normal	40	saltwater	reef-associated	2	40	dioecism	external	nonguarders
Naso tonganus	fusiform/normal	60	saltwater	reef-associated	2	40	dioecism	external	nonguarders
Naso tuberosus	fusiform/normal	60	saltwater/brack	reef-associated	NA	NA	dioecism	external	nonguarders
Naso unicornis	shortand/ordeep	70	saltwater	reef-associated	1	180	dioecism	external	nonguarders
Naso vlamingii	fusiform/normal	60	saltwater	reef-associated	1	50	dioecism	external	nonguarders
Nasolamia velox	fusiform/normal	150	saltwater	demersal	15	192	dioecism	internal(oviduct)	bearers
Naucrates ductor	fusiform/normal	70	saltwater	reef-associated	0	300	dioecism	external	nonguarders
Nealotus tripes	elongated	25	saltwater	bathypelagic	914	1646	NA	NA	NA
Neamia octospina	shortand/ordeep	7	saltwater	reef-associated	3	5	dioecism	external	bearers
Neatypus obliquus	shortand/ordeep	22	saltwater	reef-associated	NA	60	NA	NA	NA
Nebris microps	fusiform/normal	40	saltwater/brack	demersal	NA	50	NA	NA	NA
Nebrius ferrugineus	elongated	320	saltwater	reef-associated	0	70	dioecism	internal(oviduct)	bearers
Nectamia bandanensis	shortand/ordeep	10	saltwater	reef-associated	1	34	dioecism	external	bearers
Nectamia fusca	shortand/ordeep	11.19999981	saltwater	reef-associated	1	20	dioecism	external	bearers
Nectamia luxuria	shortand/ordeep	7.699999809	saltwater	reef-associated	0	11	NA	NA	NA
Nectamia savayensis	shortand/ordeep	10	saltwater	reef-associated	3	25	dioecism	external	bearers
Nectamia similis	shortand/ordeep	6.300000191	saltwater	reef-associated	NA	NA	dioecism	external	bearers
Nectamia viria	shortand/ordeep	7.199999809	saltwater	reef-associated	4	8	dioecism	external	bearers
Neenchelys buitendijki	eel-like	30	saltwater	demersal	2	3	NA	NA	NA
Negaprion acutidens	fusiform/normal	380	saltwater/brack	reef-associated	0	92	dioecism	internal(oviduct)	bearers
Negaprion brevirostris	fusiform/normal	340	saltwater/brack	reef-associated	0	92	dioecism	internal(oviduct)	bearers
Nelusetta ayraud	shortand/ordeep	100	saltwater	demersal	0	360	dioecism	NA	nonguarders
Nemadactylus bergi	fusiform/normal	39.47999954	saltwater	demersal	NA	NA	NA	NA	NA
Nemadactylus macropterus	fusiform/normal	70	saltwater	demersal	22	450	dioecism	external	nonguarders
Nemadactylus monodactylus	fusiform/normal	60	saltwater	benthopelagic	NA	NA	NA	NA	NA
Nemadactylus valenciennesi	fusiform/normal	90	saltwater	demersal	40	240	NA	NA	NA
Nemanthias carberryi	fusiform/normal	13	saltwater	reef-associated	4	30	NA	NA	NA
Nemapteryx caelata	elongated	59	saltwater/brack	demersal	NA	NA	dioecism	external	NA
Nemapteryx macronotacantha	fusiform/normal	30	saltwater/brack/fresh	benthopelagic	NA	NA	NA	NA	NA
Nemapteryx nenga	fusiform/normal	30	saltwater/brack	demersal	NA	NA	NA	NA	NA
Nematalosa arabica	fusiform/normal	16.5	saltwater	pelagic-neritic	NA	NA	NA	NA	NA
Nematalosa come	fusiform/normal	21	saltwater	pelagic-neritic	NA	13	NA	NA	NA
Nematalosa erebi	fusiform/normal	48	brack/fresh	pelagic	0	3	dioecism	external	nonguarders
Nematalosa galatheae	fusiform/normal	16.29999924	saltwater/brack/fresh	pelagic-neritic	NA	NA	NA	NA	NA
Nematalosa nasus	fusiform/normal	25.5	saltwater/brack/fresh	pelagic-neritic	0	30	dioecism	external	nonguarders
Nematalosa vlaminghi	fusiform/normal	36	saltwater/brack	pelagic-neritic	NA	NA	dioecism	external	nonguarders
Nemateleotris decora	elongated	9	saltwater	reef-associated	25	70	dioecism	external	guarders
Nemateleotris exquisita	elongated	6.599999905	saltwater	reef-associated	42	69	NA	NA	NA
Nemateleotris helfrichi	elongated	6	saltwater	reef-associated	25	90	dioecism	external	guarders
Nemateleotris magnifica	elongated	9	saltwater	reef-associated	6	70	dioecism	external	guarders
Nematistius pectoralis	fusiform/normal	163	saltwater	demersal	NA	NA	NA	NA	NA
Nematops macrochirus	shortand/ordeep	15	saltwater	bathydemersal	218	438	dioecism	external	nonguarders
Nemichthys curvirostris	eel-like	143	saltwater	bathypelagic	0	2000	NA	NA	NA
Nemichthys scolopaceus	eel-like	130	saltwater	bathypelagic	100	4337	dioecism	external	nonguarders
Nemipterus balinensoides	fusiform/normal	14	saltwater/brack	demersal	30	80	NA	NA	NA
Nemipterus bathybius	fusiform/normal	24	saltwater	demersal	35	300	dioecism	external	nonguarders
Nemipterus bipunctatus	fusiform/normal	30	saltwater	demersal	18	100	NA	NA	NA
Nemipterus celebicus	fusiform/normal	22	saltwater	demersal	30	100	NA	NA	NA
Nemipterus furcosus	fusiform/normal	24	saltwater/brack	reef-associated	8	110	protogyny	external	nonguarders
Nemipterus hexodon	fusiform/normal	23	saltwater	demersal	10	80	dioecism	external	nonguarders
Nemipterus japonicus	fusiform/normal	34	saltwater	demersal	5	80	dioecism	external	nonguarders
Nemipterus nematophorus	fusiform/normal	20	saltwater	demersal	NA	75	NA	NA	NA
Nemipterus nematopus	fusiform/normal	17.5	saltwater	demersal	30	102	NA	NA	NA
Nemipterus peronii	fusiform/normal	29	saltwater/brack	demersal	17	100	dioecism	external	nonguarders
Nemipterus virgatus	fusiform/normal	35	saltwater	demersal	1	220	dioecism	external	nonguarders
Nemipterus zysron	fusiform/normal	34	saltwater	demersal	10	125	NA	NA	NA
Neoachiropsetta milfordi	shortand/ordeep	57	saltwater	bathydemersal	165	1012	NA	NA	NA
Neoaploactis tridorsalis	shortand/ordeep	5	saltwater	reef-associated	3	30	NA	NA	NA
Neobathyclupea argentea	elongated	21.10000038	saltwater	pelagic-oceanic	259	677	NA	NA	NA
Neobathyclupea malayana	elongated	23	saltwater	pelagic-oceanic	445	930	NA	NA	NA
Neobythites bimaculatus	elongated	17	saltwater	bathydemersal	435	500	dioecism	external	nonguarders
Neobythites bimarginatus	elongated	11	saltwater	bathydemersal	295	530	dioecism	external	nonguarders
Neobythites longiventralis	elongated	13.69999981	saltwater	bathydemersal	205	330	dioecism	external	nonguarders
Neobythites marginatus	Elongated	21.60000038	saltwater	benthopelagic	75	935	dioecism	external	nonguarders
Neobythites neocaledoniensis	elongated	24.5	saltwater	bathydemersal	470	670	dioecism	external	nonguarders
Neobythites pallidus	elongated	14.30000019	saltwater	bathydemersal	500	620	dioecism	external	nonguarders
Neobythites soelae	Elongated	NA	saltwater	benthopelagic	NA	NA	dioecism	external	nonguarders
Neobythites somaliaensis	Elongated	NA	saltwater	bathydemersal	300	490	dioecism	external	nonguarders
Neobythites stelliferoides	eel-like	NA	saltwater	benthopelagic	90	310	dioecism	external	nonguarders
Neobythites unimaculatus	elongated	23.20000076	saltwater	benthopelagic	110	567	dioecism	external	nonguarders
Neobythites zonatus	elongated	17.39999962	saltwater	bathydemersal	275	950	dioecism	external	nonguarders
Neocentropogon aeglefinus	fusiform/normal	9.5	saltwater	demersal	115	172	NA	NA	NA
Neocentropogon trimaculatus	Elongated	81	saltwater	bathydemersal	203	225	NA	NA	NA
Neochelon falcipinnis	fusiform/normal	41	saltwater/brack/fresh	demersal	0	25	dioecism	external	nonguarders
Neocirrhites armatus	shortand/ordeep	9	saltwater	reef-associated	1	10	protogyny	external	nonguarders
Neoconger mucronatus	eel-like	30	saltwater	demersal	13	180	NA	NA	NA
Neoconger vermiformis	eel-like	NA	saltwater	demersal	NA	55	NA	NA	NA
Neocyttus rhomboidalis	shortand/ordeep	40	saltwater	bathypelagic	200	1240	dioecism	internal(oviduct)	nonguarders
Neoepinnula americana	fusiform/normal	22	saltwater	benthopelagic	184	457	NA	NA	NA
Neoepinnula orientalis	elongated	30	saltwater	benthopelagic	200	570	NA	NA	NA
Neoglyphidodon carlsoni	shortand/ordeep	10	saltwater	reef-associated	1	5	dioecism	external	guarders
Neoglyphidodon crossi	shortand/ordeep	10	saltwater	reef-associated	1	12	dioecism	external	guarders
Neoglyphidodon melas	shortand/ordeep	18	saltwater	reef-associated	1	12	dioecism	external	guarders
Neoglyphidodon nigroris	shortand/ordeep	13	saltwater	reef-associated	2	23	dioecism	external	guarders
Neoglyphidodon oxyodon	shortand/ordeep	15	saltwater	reef-associated	0	4	dioecism	external	guarders
Neoglyphidodon polyacanthus	shortand/ordeep	12	saltwater	reef-associated	2	30	dioecism	external	guarders
Neoglyphidodon thoracotaeniatus	shortand/ordeep	13.5	saltwater	reef-associated	10	45	dioecism	external	guarders
Neogobius fluviatilis	fusiform/normal	20	brack/fresh	benthopelagic	NA	NA	dioecism	external	guarders
Neogobius melanostomus	fusiform/normal	35	saltwater/brack/fresh	demersal	0	30	dioecism	external	guarders
Neoharriotta pumila	elongated	72.80000305	saltwater	bathydemersal	NA	380	dioecism	internal(oviduct)	nonguarders
Neolaeops microphthalmus	shortand/ordeep	21	saltwater	bathydemersal	275	400	dioecism	external	nonguarders
Neomerinthe bauchotae	fusiform/normal	10.10000038	saltwater	bathydemersal	50	510	NA	NA	NA
Neomerinthe bucephalus	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neomerinthe erostris	fusiform/normal	11.60000038	saltwater	benthopelagic	52	505	NA	NA	NA
Neomerinthe megalepis	fusiform/normal	9.399999619	saltwater	demersal	215	505	NA	NA	NA
Neomyxus leuciscus	fusiform/normal	46	saltwater/brack	reef-associated	0	4	dioecism	external	nonguarders
Neonesthes capensis	elongated	17	saltwater	bathypelagic	70	1650	NA	NA	NA
Neoniphon argenteus	fusiform/normal	24	saltwater	reef-associated	3	20	dioecism	external	nonguarders
Neoniphon marianus	fusiform/normal	18	saltwater	reef-associated	1	70	dioecism	external	nonguarders
Neoniphon opercularis	fusiform/normal	35	saltwater	reef-associated	3	25	dioecism	external	nonguarders
Neoniphon sammara	fusiform/normal	32	saltwater	reef-associated	0	46	dioecism	external	nonguarders
Neoniphon vexillarium	fusiform/normal	18	saltwater	reef-associated	0	20	dioecism	external	nonguarders
Neopomacentrus aktites	fusiform/normal	5.409999847	saltwater	reef-associated	1	10	NA	NA	NA
Neopomacentrus anabatoides	fusiform/normal	10.5	saltwater	reef-associated	2	15	dioecism	external	guarders
Neopomacentrus azysron	shortand/ordeep	7.5	saltwater	reef-associated	1	12	dioecism	external	guarders
Neopomacentrus bankieri	fusiform/normal	8	saltwater	reef-associated	3	12	dioecism	external	guarders
Neopomacentrus cyanomos	fusiform/normal	10	saltwater	reef-associated	5	30	dioecism	external	guarders
Neopomacentrus filamentosus	fusiform/normal	11	saltwater	reef-associated	5	12	dioecism	external	guarders
Neopomacentrus miryae	fusiform/normal	11	saltwater	reef-associated	2	25	dioecism	external	guarders
Neopomacentrus nemurus	shortand/ordeep	8	saltwater	reef-associated	1	10	dioecism	external	guarders
Neopomacentrus sindensis	fusiform/normal	10	saltwater	reef-associated	1	10	dioecism	external	guarders
Neopomacentrus taeniurus	fusiform/normal	10	saltwater/brack/fresh	demersal	0	3	dioecism	external	guarders
Neopomacentrus violascens	fusiform/normal	7.5	saltwater	reef-associated	1	30	dioecism	external	guarders
Neopomacentrus xanthurus	fusiform/normal	6	saltwater	reef-associated	1	15	dioecism	external	guarders
Neoscopelus macrolepidotus	elongated	25	saltwater	bathypelagic	300	1180	NA	NA	NA
Neoscopelus microchir	elongated	30.5	saltwater	bathypelagic	250	700	NA	NA	NA
Neoscorpaena nielseni	fusiform/normal	21.61000061	saltwater	demersal	40	507	NA	NA	NA
Neoscorpis lithophilus	shortand/ordeep	50	saltwater	demersal	NA	NA	NA	NA	NA
Neosebastes bougainvillii	shortand/ordeep	40	saltwater	reef-associated	10	100	NA	NA	NA
Neosebastes capricornis	shortand/ordeep	NA	saltwater	reef-associated	NA	330	NA	NA	NA
Neosebastes nigropunctatus	shortand/ordeep	36	saltwater	reef-associated	30	556	NA	NA	NA
Neosebastes occidentalis	shortand/ordeep	18	saltwater	demersal	100	185	NA	NA	NA
Neosebastes pandus	shortand/ordeep	50	saltwater	reef-associated	15	593	NA	NA	NA
Neosynchiropus ocellatus	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neotrygon australiae	other	41	saltwater	demersal	23	91	NA	NA	NA
Neotrygon indica	other(seeremarks)	31.39999962	saltwater	reef-associated	NA	NA	NA	NA	NA
Neotrygon kuhlii	other	70	saltwater	reef-associated	0	170	dioecism	internal(oviduct)	bearers
Neotrygon leylandi	other	25	saltwater	demersal	5	80	dioecism	internal(oviduct)	bearers
Neotrygon ningalooensis	other	30.20000076	saltwater	demersal	NA	NA	NA	NA	NA
Nerophis lumbriciformis	eel-like	15	saltwater	demersal	0	30	dioecism	inbroodpouchorsimilarstructure	bearers
Nerophis maculatus	eel-like	30	saltwater	demersal	NA	NA	dioecism	inbroodpouchorsimilarstructure	bearers
Nerophis ophidion	eel-like	29	saltwater/brack/fresh	demersal	2	15	dioecism	inbroodpouchorsimilarstructure	bearers
Nes longus	fusiform/normal	10	saltwater	reef-associated	NA	NA	NA	NA	NA
Nesiarchus nasutus	elongated	130	saltwater	benthopelagic	200	1200	dioecism	external	nonguarders
Nessorhamphus danae	eel-like	30	saltwater	bathypelagic	NA	410	NA	NA	NA
Nessorhamphus ingolfianus	eel-like	60	saltwater	bathypelagic	0	1800	NA	NA	NA
Nettastoma melanura	eel-like	79.80000305	saltwater	bathypelagic	37	1647	dioecism	external	nonguarders
Nettenchelys gephyra	eel-like	NA	saltwater	benthopelagic	NA	412	NA	NA	NA
Netuma bilineata	fusiform/normal	90	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Netuma thalassina	fusiform/normal	185	saltwater/brack/fresh	demersal	10	195	dioecism	external	bearers
Nezumia aequalis	elongated	36	saltwater	benthopelagic	200	2320	NA	NA	NA
Nezumia aspidentata	elongated	20	saltwater	bathydemersal	NA	720	NA	NA	NA
Nezumia cliveri	elongated	26	saltwater	bathydemersal	815	1160	NA	NA	NA
Nezumia coheni	elongated	40	saltwater	bathydemersal	710	1032	NA	NA	NA
Nezumia convergens	elongated	30	saltwater	bathydemersal	600	1870	NA	NA	NA
Nezumia investigatoris	elongated	NA	saltwater	bathydemersal	353	897	NA	NA	NA
Nezumia latirostrata	elongated	23	saltwater	bathydemersal	589	1400	NA	NA	NA
Nezumia liolepis	elongated	30	saltwater	bathydemersal	581	1660	dioecism	external	NA
Nezumia propinqua	elongated	27	saltwater	benthopelagic	219	914	NA	NA	NA
Nezumia sclerorhynchus	elongated	36	saltwater	bathypelagic	130	3200	NA	NA	NA
Nezumia semiquincunciata	elongated	27	saltwater	bathypelagic	NA	455	NA	NA	NA
Nezumia spinosa	elongated	28	saltwater	bathydemersal	560	900	NA	NA	NA
Nezumia stelgidolepis	elongated	NA	saltwater	bathydemersal	277	909	NA	NA	NA
Nezumia suilla	elongated	25.20000076	saltwater	bathydemersal	860	915	NA	NA	NA
Nibea coibor	elongated	NA	saltwater/brack	demersal	NA	NA	NA	NA	NA
Nibea maculata	fusiform/normal	30	saltwater	demersal	NA	NA	dioecism	external	NA
Nibea soldado	fusiform/normal	60	saltwater/brack/fresh	demersal	1	40	NA	NA	NA
Nicholsina denticulata	fusiform/normal	32	saltwater	reef-associated	1	11	NA	NA	NA
Nicholsina usta	fusiform/normal	30	saltwater	reef-associated	1	80	dioecism	external	NA
Nomeus gronovii	fusiform/normal	39	saltwater	demersal	200	1000	NA	NA	NA
Norfolkia brachylepis	elongated	7.300000191	saltwater	reef-associated	1	25	dioecism	external	guarders
Norfolkia squamiceps	elongated	6.599999905	saltwater	reef-associated	0	12	dioecism	external	guarders
Norfolkia thomasi	elongated	5	saltwater	reef-associated	1	20	dioecism	external	guarders
Notacanthus chemnitzii	elongated	120	saltwater	benthopelagic	125	3285	NA	NA	NA
Notacanthus spinosus	eel-like	NA	saltwater	demersal	NA	838	NA	NA	NA
Notemigonus crysoleucas	fusiform/normal	32	brack/fresh	demersal	10	NA	dioecism	external	nonguarders
Notocirrhitus splendens	fusiform/normal	20	saltwater	reef-associated	NA	NA	NA	NA	NA
Notograptus gregoryi	eel-like	10	saltwater	demersal	NA	NA	dioecism	external	guarders
Notograptus guttatus	eel-like	10.60000038	saltwater/brack	demersal	NA	NA	dioecism	external	guarders
Notolabrus celidotus	fusiform/normal	23.89999962	saltwater/brack	reef-associated	22	145	protogyny	external	nonguarders
Notolabrus gymnogenis	shortand/ordeep	23	saltwater	reef-associated	5	40	dioecism	external	NA
Notolabrus inscriptus	fusiform/normal	50	saltwater	reef-associated	NA	NA	dioecism	external	NA
Notolabrus parilus	fusiform/normal	41	saltwater	reef-associated	NA	NA	dioecism	external	NA
Notolepis annulata	elongated	30	saltwater	bathypelagic	NA	2050	NA	NA	NA
Notolepis coatsorum	elongated	38	saltwater	bathypelagic	0	2000	NA	NA	NA
Notolychnus valdiviae	elongated	6.300000191	saltwater	bathypelagic	25	700	dioecism	external	nonguarders
Notomyxine tridentiger	eel-like	57.5	saltwater	demersal	11	106	NA	external	nonguarders
Notophycis marginata	elongated	24	saltwater	benthopelagic	NA	1200	NA	NA	NA
Notopogon armatus	shortand/ordeep	33.75	saltwater	pelagic-neritic	NA	NA	NA	NA	NA
Notopogon lilliei	shortand/ordeep	27	saltwater	demersal	80	600	NA	NA	NA
Notopogon xenosoma	shortand/ordeep	17	saltwater	bathydemersal	255	610	NA	NA	NA
Notopterus notopterus	elongated	60	brack/fresh	demersal	NA	NA	dioecism	external	guarders
Notoraja sapphira	other	36	saltwater	benthopelagic	1195	1313	NA	NA	NA
Notorynchus cepedianus	elongated	300	saltwater/brack	demersal	0	570	dioecism	internal(oviduct)	bearers
Notoscopelus bolini	elongated	10.19999981	saltwater	pelagic-oceanic	0	1300	NA	NA	NA
Notoscopelus caudispinosus	elongated	14	saltwater	bathypelagic	0	360	NA	NA	NA
Notoscopelus resplendens	elongated	9.5	saltwater	bathypelagic	777	2121	dioecism	external	nonguarders
Notothenia coriiceps	fusiform/normal	62	saltwater	demersal	0	550	dioecism	external	NA
Notothenia cyanobrancha	NA	NA	NA	NA	NA	NA	NA	NA	NA
Notothenia rossii	fusiform/normal	92	saltwater	demersal	5	350	dioecism	external	NA
Nototheniops larseni	fusiform/normal	24	saltwater	benthopelagic	30	750	dioecism	external	nonguarders
Novaculichthys taeniourus	fusiform/normal	30	saltwater	reef-associated	3	25	dioecism	external	NA
Novaculoides macrolepidotus	fusiform/normal	16	saltwater	reef-associated	3	25	dioecism	external	NA
Novaculops pastellus	fusiform/normal	11.69999981	saltwater	reef-associated	10	25	dioecism	external	NA
Nuchequula blochii	fusiform/normal	10	saltwater/brack	demersal	1	40	NA	NA	NA
Nuchequula gerreoides	shortand/ordeep	12.5	saltwater/brack	demersal	10	30	dioecism	external	nonguarders
Nuchequula nuchalis	fusiform/normal	25	saltwater/brack	pelagic-neritic	NA	NA	NA	NA	NA
Oblada melanurus	fusiform/normal	36.59999847	saltwater	benthopelagic	NA	30	protogyny	external	nonguarders
Ocosia apia	fusiform/normal	5.320000172	saltwater	demersal	29	350	NA	NA	NA
Ocosia dorsomaculata	fusiform/normal	12.81999969	saltwater	demersal	140	545	NA	NA	NA
Ocyurus chrysurus	fusiform/normal	86.30000305	saltwater	reef-associated	0	180	dioecism	external	nonguarders
Odondebuenia balearica	elongated	3.200000048	saltwater	demersal	20	70	NA	NA	NA
Odontamblyopus rubicundus	elongated	33.40000153	saltwater/brack	benthopelagic	NA	NA	NA	NA	NA
Odontanthias borbonius	shortand/ordeep	15	saltwater	pelagic-oceanic	92	300	NA	NA	NA
Odontanthias unimaculatus	fusiform/normal	20	saltwater	reef-associated	NA	NA	NA	NA	NA
Odontaspis ferox	fusiform/normal	450	saltwater	benthopelagic	10	2000	dioecism	internal(oviduct)	bearers
Odontaspis noronhai	fusiform/normal	367	saltwater	pelagic-oceanic	60	1000	dioecism	internal(oviduct)	bearers
Odonteleotris macrodon	fusiform/normal	27.79999924	brack/fresh	demersal	NA	NA	NA	NA	NA
Odontesthes argentinensis	elongated	42.09999847	saltwater/brack/fresh	pelagic-neritic	NA	NA	dioecism	external	NA
Odontesthes incisa	elongated	10	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Odontesthes nigricans	elongated	21.60000038	saltwater/brack/fresh	pelagic-neritic	NA	NA	NA	NA	NA
Odontesthes platensis	elongated	11.89999962	saltwater/brack/fresh	benthopelagic	NA	NA	NA	NA	NA
Odontomacrurus murrayi	elongated	64	saltwater	bathypelagic	0	2500	NA	NA	NA
Odontoscion dentex	fusiform/normal	30	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Odontoscion eurymesops	elongated	25	saltwater	reef-associated	3	30	NA	NA	NA
Odontoscion xanthops	fusiform/normal	30	saltwater/brack	pelagic-neritic	NA	NA	NA	NA	NA
Odontostomops normalops	elongated	12.30000019	saltwater	pelagic-oceanic	400	1000	NA	NA	NA
Odonus niger	shortand/ordeep	50	saltwater	reef-associated	5	40	dioecism	external	guarders
Oedalechilus labeo	fusiform/normal	25	saltwater/brack	demersal	NA	NA	dioecism	external	nonguarders
Ogcocephalus corniger	shortand/ordeep	23	saltwater	demersal	29	230	dioecism	external	nonguarders
Ogcocephalus cubifrons	shortand/ordeep	38	saltwater	reef-associated	0	70	NA	NA	NA
Ogcocephalus darwini	shortand/ordeep	20.29999924	saltwater	reef-associated	3	120	NA	NA	NA
Ogcocephalus nasutus	shortand/ordeep	38	saltwater	reef-associated	0	305	NA	NA	NA
Ogcocephalus parvus	shortand/ordeep	10	saltwater	reef-associated	29	126	NA	NA	NA
Ogcocephalus porrectus	shortand/ordeep	13.85000038	saltwater	demersal	88	146	NA	NA	NA
Ogcocephalus radiatus	elongated	38	saltwater	demersal	NA	70	dioecism	external	nonguarders
Ogilbia cayorum	elongated	6	saltwater	reef-associated	0	33	dioecism	internal(oviduct)	bearers
Ogilbia cocoensis	elongated	3.799999952	saltwater	demersal	0	3	NA	NA	NA
Ogilbia robertsoni	elongated	7.099999905	saltwater	demersal	6	27	NA	NA	NA
Ogilbia suarezae	elongated	7.5	saltwater	reef-associated	0	10	NA	NA	NA
Ogilbyina salvati	fusiform/normal	5.900000095	saltwater	reef-associated	0	15	NA	NA	NA
Okamejei ornata	other	41.79999924	saltwater	benthopelagic	NA	390	NA	NA	NA
Oligolepis acutipennis	fusiform/normal	15	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	guarders
Oligoplites altus	fusiform/normal	56	saltwater/brack	benthopelagic	NA	NA	dioecism	external	nonguarders
Oligoplites saurus	fusiform/normal	35	saltwater/brack	reef-associated	0	50	dioecism	external	nonguarders
Oman ypsilon	fusiform/normal	4	saltwater	demersal	2	6	dioecism	external	guarders
Omegophora armilla	shortand/ordeep	25	saltwater	demersal	NA	146	NA	NA	NA
Omobranchus banditus	fusiform/normal	6	saltwater	demersal	NA	NA	dioecism	external	guarders
Omobranchus elongatus	elongated	5	saltwater/brack	benthopelagic	0	2	dioecism	external	guarders
Omobranchus fasciolatus	fusiform/normal	6.800000191	saltwater	demersal	NA	NA	dioecism	external	guarders
Omobranchus germaini	elongated	8	saltwater	reef-associated	0	3	dioecism	external	guarders
Omobranchus loxozonus	fusiform/normal	NA	saltwater	demersal	NA	NA	dioecism	external	guarders
Omobranchus obliquus	fusiform/normal	5.599999905	saltwater/brack	reef-associated	0	3	dioecism	external	guarders
Omobranchus punctatus	elongated	9.5	saltwater/brack	benthopelagic	NA	NA	dioecism	external	guarders
Omobranchus rotundiceps	elongated	NA	saltwater/brack	benthopelagic	NA	NA	dioecism	external	guarders
Omobranchus zebra	elongated	6	saltwater/brack	demersal	NA	NA	dioecism	external	guarders
Omosudis lowii	elongated	23	saltwater	bathypelagic	0	4000	truehermaphroditism	external	guarders
Omox biporos	elongated	4.599999905	saltwater/brack	benthopelagic	0	3	dioecism	external	guarders
Ompok bimaculatus	elongated	45	brack/fresh	demersal	0	2	NA	NA	NA
Oncopterus darwinii	shortand/ordeep	30.35000038	saltwater	demersal	20	80	dioecism	external	nonguarders
Oncorhynchus clarkii	fusiform/normal	99	saltwater/brack/fresh	demersal	0	200	dioecism	external	nonguarders
Oncorhynchus gorbuscha	fusiform/normal	76	saltwater/brack/fresh	demersal	0	250	dioecism	external	nonguarders
Oncorhynchus kisutch	fusiform/normal	107.9499969	saltwater/brack/fresh	pelagic	0	250	dioecism	external	nonguarders
Oncorhynchus mykiss	fusiform/normal	122	saltwater/brack/fresh	benthopelagic	0	200	dioecism	external	nonguarders
Oncorhynchus tshawytscha	fusiform/normal	150	saltwater/brack/fresh	benthopelagic	0	375	dioecism	external	guarders
Oneirodes anisacanthus	shortand/ordeep	1.299999952	saltwater	bathypelagic	NA	1500	NA	NA	NA
Oneirodes carlsbergi	shortand/ordeep	22.20000076	saltwater	bathypelagic	360	1000	NA	NA	NA
Onigocia bimaculata	Elongated	6.599999905	saltwater	demersal	3	30	dioecism	external	nonguarders
